item_index,name_string_id,description_string_id,name,description
0,30000,40000,,
1,30001,40001,- Unspecified Item -,This Item does not have a description yet.
2,30002,40002,Zanathid 5 Inflex,"As standard a handgun as will be found in The Dominion, the Inflex can take standard 9mm ammo. Originally produced by Isotech, it is now widely constructed (often illegally) due to its wide design."
3,30003,40003,Ryx 7 Streamline,"A handgun for the new age. Accurate, lightweight, quiet and efficient- the Ryx 7 is the sidearm of choice for countless security forces. Using energy cells ensures a power source is never far away."
4,30004,40004,RGI-9,"One of the most powerful projectile weapons widely available. Used heavily by Dominion Military, the RGI-9 combines accuracy and firepower in a single package, with the inclusion of a 3x scope."
5,30005,40005,Orbit XB Infineon,"Pain is the Infineon's trademark. Lethal beams of energy, the same as is used in vortex technology, are used to literally rip the target to shreads at the molecular level, causing untold agony."
6,30006,40006,Armalite Survival,"Standard double-edged combat knife, designed by Federated Arms. A true warrior's tool."
7,30007,40007,Enfield Life Protector,"A 'tazer' of kinds that have been seen for centuries. By passing uncountable levels of electricity through a victim, it renders the target incapacitated. Effectiveness is reduced against armoured targets."
8,30008,40008,FGz-78,"Hand grenade by Federated Arms, causing a heavy hot fusion reaction, and operates on a five second fuse."
9,30009,40009,Militek EMP,"Grenade by Militek Electronics, causing a heavy electro-magnetic pulse. Drains the bio-electrical supply of those caught in the blast, terminating augmentations until they can be recharged. Uses a five second fuse."
10,30010,40010,Techtronic 6x6,"A tough, durable submachine gun, the Techtronic has seen heavy use by the less sociable elements of The Dominion. This weapon uses 6mm rounds."
11,30011,40011,HR420,The ubiquitous energy pistol by Gakk Industries which discharges the distinctive particles characteristic of the HR420. Popular with civilians for its reliability and affordability.
12,30012,40012,Linner PP7,"The Linner PP7 is a rifle developed specifically for mid range combat. It is amongst the most accurate of the rifles due to its constant, measured rate of fire. The PP7 also inflicts higher amounts of damage per projectile as opposed to a projectile fired from the RGI 9. In the right hands, it can be as lethal if not more lethal than any other ballistic weapon. It uses reinforced 7.62mm ammunition and is also equipped with a 5x scope."
13,30013,40013,DOA 187,"Popularly known as simply 'DOA', this Techtronic weapon discharges supercharged particles which are hot enough to cauterize flesh and melt the highest grades of armor. Note: This weapon is not available for trainees!"
14,30014,40014,Salvotec HP220,"After intense competition between rival arms manufacturers in the concussion grenade market, Salvotec emerged from the fray with the HP220, subsequently monopolizing the market with its unprecedented damage, almost zero rate-of-failure, and overall reliability in battlefield conditions. Popularly used by anti-Dominion forces for harassment purposes after a glut in the market caused the prices for the HP220 to fall drastically, making it relatively easily obtainable. Note: This weapon is not available for trainees!"
15,30015,40015,EMP-Rv3,Electromagnetic pulse grenade designed to counter prevalent use of bioaugmentations by draining the bioenergy of any personnel caught in the blast. Note: This weapon is not available for trainees!
16,30016,40016,Gakk MG6,Gakk Industries' mainstay lightweight sub-machine gun utilising ballistic rounds; featuring high-capacity magazines and high rate-of-fire.
